Date,close,Close,Open,High,Low,Volume,OpenInt
10/16/2013,38.324,383.24,38.288,38.512,38.186,2338653,0
10/17/2013,38.828,388.28,38.324,38.906,38.186,2154758,0
10/18/2013,39.229,392.29,39.123,39.265,38.906,1480464,0
10/21/2013,39.583,395.83,39.403,40.092,39.299,3264296,0
10/22/2013,39.403,394.03,39.835,39.91,39.265,3126122,0
10/23/2013,38.58,385.8,39.299,39.335,38.394,2379593,0
10/24/2013,34.551,345.51,37.643,37.753,34.335,9302942,0
10/25/2013,34.913,349.13,35.019,35.019,34.48,5182180,0
10/28/2013,35.126,351.26,35.057,35.341,34.839,3107693,0
10/29/2013,35.27,352.7,35.378,35.954,35.057,4853034,0
10/30/2013,35.304,353.04,35.27,35.489,35.057,3510496,0
10/31/2013,35.737,357.37,35.237,36.136,35.057,3835682,0
11/1/2013,36.026,360.26,35.991,36.313,35.341,4180290,0
11/4/2013,36.641,366.41,36.244,36.679,36.102,3240210,0
11/5/2013,36.961,369.61,37,37.065,36.526,3121267,0
11/6/2013,37.065,370.65,37.245,37.426,36.602,2209835,0
11/7/2013,36.275,362.75,37.174,37.283,36.136,4108002,0
11/8/2013,37.026,370.26,36.172,37.1,36.136,3293822,0
11/11/2013,36.961,369.61,37.065,37.245,36.853,2989024,0
11/12/2013,38.434,384.34,37.065,38.512,36.679,4026838,0
11/13/2013,39.694,396.94,38.474,39.694,38.261,4384066,0
11/14/2013,39.654,396.54,39.764,39.91,39.123,3040400,0
11/15/2013,39.694,396.94,39.548,39.835,39.403,2281974,0
11/18/2013,39.874,398.74,39.654,40.194,39.654,2853253,0
11/19/2013,40.331,403.31,39.946,40.489,39.91,3218151,0
11/20/2013,39.473,394.73,40.233,40.233,38.938,4148629,0
11/21/2013,39.804,398.04,39.835,40.126,39.548,3760839,0
11/22/2013,40.331,403.31,39.874,40.371,39.437,3085709,0
11/25/2013,40.371,403.71,40.371,40.52,40.016,2253258,0
11/26/2013,40.489,404.89,40.41,41.02,40.268,3217857,0
11/27/2013,40.591,405.91,40.631,40.879,40.3,1868233,0
11/29/2013,40.917,409.17,40.815,41.276,40.737,1107004,0
12/2/2013,41.492,414.92,40.815,42.063,40.666,3322176,0
12/3/2013,40.666,406.66,41.237,41.564,40.331,4004188,0
12/4/2013,39.835,398.35,40.489,40.52,39.764,3859157,0
12/5/2013,39.694,396.94,39.984,40.371,39.513,2816993,0
12/6/2013,40.555,405.55,40.092,40.737,39.874,2267582,0
12/9/2013,41.123,411.23,40.701,41.276,40.666,1866177,0
12/10/2013,41.237,412.37,40.449,41.39,40.233,2392690,0
12/11/2013,40.126,401.26,41.354,41.354,40.016,2976859,0
12/12/2013,40.268,402.68,40.162,40.489,39.764,1842725,0
12/13/2013,40.737,407.37,40.268,40.917,39.946,1962877,0
