,Actual,Predicted,delta,trend_actual,trend_predicted
529,59.89,60.520885,-0.630885,,
530,58.19,59.854668,-1.664668,,
531,58.3,58.50125,-0.20125,,
532,58.26,58.09481,0.16519,,
533,58.6,57.916733,0.683267,,
534,58.3,58.10094,0.19906,,
535,57.3,57.99949,-0.69949,,
536,58,57.340416,0.659584,,
537,59.9,57.56525,2.33475,,
538,60.85,58.90998,1.94002,,
539,61.28,60.0557,1.2243,,
540,61.29,60.786583,0.503417,,
541,59.51,61.059902,-1.549902,,
542,60.76,59.95239,0.80761,,
543,59.35,60.39497,-1.04497,,
544,60.01,59.55376,0.45624,,
545,59.77,59.706844,0.063156,,
546,59.41,59.573967,-0.163967,,
547,58.47,59.295544,-0.825544,,
548,57.4,58.57709,-1.17709,,
549,56.35,57.619324,-1.269324,,
550,57.31,56.582073,0.727927,,
551,58.11,56.801178,1.308822,,
552,58.75,57.408325,1.341675,,
553,57.8,58.091106,-0.291106,,
554,57.42,57.749897,-0.329897,,
555,56.54,57.396988,-0.856988,,
556,57.82,56.686504,1.133496,,
557,56.98,57.241837,-0.261837,,
558,57.72,56.8949,0.8251,,
559,57.8,57.268448,0.531552,,
560,57.77,57.456448,0.313552,,
561,58.8,57.519474,1.280526,,
562,59.7,58.225124,1.474876,,
563,59.47,59.08085,0.38915,,
564,60.11,59.243675,0.866325,,
565,61.75,59.739204,2.010796,,
566,59.7,61.014805,-1.314805,,
567,59.9,60.059456,-0.159456,,
568,59.76,59.87631,-0.11631,,
569,61.2,59.669407,1.530593,,
570,61.1,60.554886,0.545114,,
571,60.88,60.780075,0.099925,,
572,62.3,60.72908,1.57092,,
573,60.23,61.681522,-1.451522,,
574,60.06,60.587395,-0.527395,,
575,59.85,60.11485,-0.26485,,
576,62.3,59.76939,2.53061,,
577,63,61.30518,1.69482,,
578,64.1,62.302536,1.797464,,
579,62.95,63.4471,-0.4971,,
580,63.05,63.023758,0.026242,,
581,64.15,62.974197,1.175803,,
582,63.59,63.691387,-0.101387,,
583,62.02,63.503113,-1.483113,,
584,61.79,62.371803,-0.581803,,
585,61.6,61.83271,-0.23271,,
586,62.72,61.485874,1.234126,,
587,63.81,62.128727,1.681273,,
588,65.4,63.098236,2.301764,,
589,66.2,64.56569,1.63431,,
590,66.79,65.614655,1.175345,,
591,66.34,66.38573,-0.04573,,
592,64.94,66.29316,-1.35316,,
593,65.7,65.26975,0.43025,,
594,63.44,65.48078,-2.04078,,
595,66.58,63.932735,2.647265,,
596,66.85,65.69036,1.15964,,
597,66.22,66.32216,-0.10216,,
598,67.24,66.10543,1.13457,,
599,63.39,66.80484,-3.41484,,
600,64.7,64.36626,0.33374,,
601,65.05,64.47749,0.57251,,
602,63.09,64.65134,-1.56134,,
603,63.31,63.35812,-0.04812,,
604,64.15,63.115112,1.034888,,
605,64.67,63.595,1.075,,
606,64.44,64.12103,0.31897,,
607,65.83,64.153114,1.676886,,
608,66.6,65.18119,1.41881,,
609,69.4,66.042885,3.357115,,
610,68.75,68.42253,0.32747,,
611,69.95,68.56805,1.38195,,
612,67.4,69.5808,-2.1808,,
613,68.6,67.98417,0.61583,,
614,67.5,68.40325,-0.90325,,
615,67.41,67.604034,-0.194034,,
616,65.79,67.3129,-1.5229,,
